name,price,rating,rating_count,review_count
"Bounce Infinity E1 Limited Edition Booking for Ex-Showroom Price (With Charger, Pearl White)",114208,4.0,40,12
"Joy e-bike Wolf Eco Booking for Ex-Showroom Price (with Portable Charger, White and Red)",91350,4.4,28,7
"OKAYA Faast F2B Booking for Ex-Showroom Price (with Portable Charger, Metallic Black)",99950,4.3,594,92
"BGauss BG C12i MAX Booking for Ex-Showroom Price (With CAN Enabled Charger, Matte Blue)",126153,4.2,49,5
"VIDA Powered by Hero V1 Pro Booking for Ex-Showroom Price (with Portable Charger, Red)",145900,4.2,217,39
"OKAYA FAAST F4 Booking for Ex-Showroom Price (with Portable Charger, Metallic Cyan)",132990,4.4,28,7
"Ampere Magnus EX Booking for Ex-Showroom Price (With Charger, Metallic Red)",104900,4.2,217,39
"BGauss BG C12i MAX Booking for Ex-Showroom Price (With CAN Enabled Charger, Brooklyn Black)",126153,4.0,16,1
"Ampere Magnus EX Booking for Ex-Showroom Price (With Charger, Graphite Black)",100900,3.9,12,5
"VIDA Powered by Hero V1 Plus Booking for Ex-Showroom Price (with Portable Charger, Red)",145000,3.8,238,29
"BGauss BG C12i Ex Booking for Ex-Showroom Price (With CAN Enabled Charger, Pearl White)",105000,4.4,28,7
"BGauss BG D15 Pro Booking for Ex-Showroom Price (With CAN Enabled Charger, Matte Black & Silver)",145651,4.4,28,7
"OKAYA Freedum LI-2 Booking for Ex-Showroom Price (with Portable Charger, Metallic Cyan)",74899,4.3,594,92
"BGauss BG D15 Pro Booking for Ex-Showroom Price (With CAN Enabled Charger, Pearl White)",145651,4.4,28,7
"BGauss BG C12i MAX Booking for Ex-Showroom Price (With CAN Enabled Charger, Pearl White)",126153,4.0,16,1
"BGauss BG C12i MAX Booking for Ex-Showroom Price (With CAN Enabled Charger, Shiny Silver)",126513,3.5,6,4
"VIDA Powered by Hero V1 Pro Booking for Ex-Showroom Price (with Portable Charger, Orange)",145900,4.0,16,1
"Bounce Infinity E1+ Booking for Ex-Showroom Price (with Portable Charger, Bounce Yellow)",99999,4.2,217,39
"Ampere Magnus EX Booking for Ex-Showroom Price (With Charger, Galactic Grey)",104900,3.9,12,5
"BGauss BG C12i Ex Booking for Ex-Showroom Price (With CAN Enabled Charger, Shiny Silver)",105000,4.2,49,5
"OKAYA FAAST F4 Booking for Ex-Showroom Price (with Portable Charger, Metallic Silver)",132990,4.0,40,12
"OKAYA Faast F2B Booking for Ex-Showroom Price (with Portable Charger, Metallic Grey)",99950,3.9,12,5
"BGauss BG C12i Ex Booking for Ex-Showroom Price (With CAN Enabled Charger, Yellow Techno)",105000,3.9,12,5
"BGauss BG C12i Ex Booking for Ex-Showroom Price (With CAN Enabled Charger, Foliage Green)",105000,4.2,49,5
"OKAYA FAAST F4 Booking for Ex-Showroom Price (with Portable Charger, Matte Green)",132990,4.2,5,1
"Bounce Infinity E1+ Booking for Ex-Showroom Price (with Portable Charger, Dazzling Blue)",99999,3.8,238,29
"Joy e-bike Gen Next Nanu Eco Booking for Ex-Showroom Price (with Portable Charger, Silver)",88200,3.5,6,4
"OKAYA Freedum LI-2 Booking for Ex-Showroom Price (with Portable Charger, Metallic Grey)",74899,3.5,6,4
"BGauss BG D15i Booking for Ex-Showroom Price (With CAN Enabled Charger, Racing Red)",134514,4.2,49,5
"BGauss BG D15i Booking for Ex-Showroom Price (With CAN Enabled Charger, Glistening Blue)",134514,4.4,28,7
"OKAYA FAAST F4 Booking for Ex-Showroom Price (with Portable Charger, Metallic Grey)",132990,4.0,16,1
"Ampere Primus Booking for Ex-Showroom Price (With CAN Enabled Charger, Royal Bengal Orange)",146355,3.5,6,4
"BGauss BG C12i MAX Booking for Ex-Showroom Price (With CAN Enabled Charger, Yellow Techno)",126153,4.0,16,1
"Ampere Primus Booking for Ex-Showroom Price (With CAN Enabled Charger, Buck Black)",146355,4.2,217,39
"VIDA Powered by Hero V1 Plus Booking for Ex-Showroom Price (with Portable Charger, Orange)",145000,4.2,5,1
"BGauss BG D15i Booking for Ex-Showroom Price (With CAN Enabled Charger, Alpine Green)",134514,3.8,238,29
"VIDA Powered by Hero V1 Pro Booking for Ex-Showroom Price (with Portable Charger, White)",145900,4.3,594,92
"OKAYA Faast F2B Booking for Ex-Showroom Price (with Portable Charger, White)",99950,4.0,40,12
"BGauss BG C12i Ex Booking for Ex-Showroom Price (With CAN Enabled Charger, Brooklyn Black)",105000,3.9,12,5
"Bounce Infinity E1 Limited Edition Booking for Ex-Showroom Price (With Charger, Sporty Red)",114208,3.8,238,29
"OKAYA Freedum LI-2 Booking for Ex-Showroom Price (with Portable Charger, Metallic Silver)",74899,3.9,12,5
"BGauss BG D15 Pro Booking for Ex-Showroom Price (With CAN Enabled Charger, Racing Red)",145651,4.0,40,12
"Bounce Infinity E1 Limited Edition Booking for Ex-Showroom Price (With Charger, Desat Silver)",114208,4.2,49,5
"BGauss BG C12i Ex Booking for Ex-Showroom Price (With CAN Enabled Charger, Matte Blue)",105000,3.8,238,29
"OKAYA Faast F2B Booking for Ex-Showroom Price (with Portable Charger, Metallic Silver)",99950,4.2,5,1
"OKAYA FAAST F4 Booking for Ex-Showroom Price (with Portable Charger, Metallic Black)",132990,4.2,217,39
"Bounce Infinity E1+ Booking for Ex-Showroom Price (with Portable Charger, Pearl White)",99999,3.9,12,5
"OKAYA Freedum LI-2 Booking for Ex-Showroom Price (with Portable Charger, Matte Green)",74899,4.2,49,5
"Joy e-bike Gen Next Nanu Eco Booking for Ex-Showroom Price (with Portable Charger, White)",88200,4.0,40,12
"Bounce Infinity E1+ Booking for Ex-Showroom Price (with Portable Charger, Bounce Yellow)",99999,3.9,12,5
"Ampere Magnus EX Booking for Ex-Showroom Price (With Charger, Galactic Grey)",104900,3.9,12,5
"BGauss BG C12i Ex Booking for Ex-Showroom Price (With CAN Enabled Charger, Shiny Silver)",105000,4.2,49,5
"OKAYA FAAST F4 Booking for Ex-Showroom Price (with Portable Charger, Metallic Silver)",132990,4.2,5,1
"OKAYA Faast F2B Booking for Ex-Showroom Price (with Portable Charger, Metallic Grey)",99950,3.8,238,29
"BGauss BG D15i Booking for Ex-Showroom Price (With CAN Enabled Charger, Racing Red)",134514,3.5,6,4
"BGauss BG D15i Booking for Ex-Showroom Price (With CAN Enabled Charger, Glistening Blue)",134514,3.5,6,4
"OKAYA FAAST F4 Booking for Ex-Showroom Price (with Portable Charger, Metallic Grey)",132990,4.2,49,5
"Ampere Primus Booking for Ex-Showroom Price (With CAN Enabled Charger, Royal Bengal Orange)",146355,3.6,22,5
"OKAYA ClassIQ Booking for Ex-Showroom Price (with Portable Charger, Metallic Silver)",74499,4.0,4,0
"OKAYA Faast F2F Booking for Ex-Showroom Price (with Portable Charger, Grey)",93999,3.7,3,0
"OKAYA Faast F3 Booking for Ex-Showroom Price (with Portable Charger, Metallic Grey)",124990,3.7,3,0
"OKAYA Faast F3 Booking for Ex-Showroom Price (with Portable Charger, White)",124990,3.7,3,0
"OKAYA Faast F3 Booking for Ex-Showroom Price (with Portable Charger, Matte Green)",124990,4.0,96,31
"Bounce Infinity E1 Booking for Ex-Showroom Price (With Charger, Sporty Red)",80490,3.6,22,5
"OKAYA ClassIQ Booking for Ex-Showroom Price (with Portable Charger, Metallic Black)",74499,3.7,3,0
"OKAYA Faast F3 Booking for Ex-Showroom Price (with Portable Charger, Metallic Cyan)",124990,3.7,3,0
"OKAYA Faast F3 Booking for Ex-Showroom Price (with Portable Charger, Metallic Black)",124990,4.0,4,0
"OKAYA Faast F2F Booking for Ex-Showroom Price (with Portable Charger, Black)",93999,4.0,4,0
"OKAYA Faast F2F Booking for Ex-Showroom Price (with Portable Charger, Cyan)",93999,4.0,4,0
"OKAYA Faast F2F Booking for Ex-Showroom Price (with Portable Charger, Green)",93999,3.6,22,5
"BGauss BG A2 Booking for Ex-Showroom Price (Without Charger, Caspian Blue)",71199,4.0,4,0
"OKAYA ClassIQ Booking for Ex-Showroom Price (with Portable Charger, Metallic Grey)",74499,4.0,4,0
"BGauss BG D15 Pro Booking for Ex-Showroom Price (With CAN Enabled Charger, Anthracite Quartz)",145651,3.5,6,4
"BGauss BG B8 Booking for Ex-Showroom Price (Without Charger, Zed Black)",50000,3.6,22,5
"OKAYA Faast F3 Booking for Ex-Showroom Price (with Portable Charger, Matte Green)",124990,3.7,3,0
"Bounce Infinity E1 Booking for Ex-Showroom Price (With Charger, Sporty Red)",80490,4.0,96,31
